id,price,host_is_superhost,host_total_listings_count,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month
1,85,f,2,t,-37.81554,144.96526,Apartment,Private room,4,0.5,1,0,300,11,27,1,25,115,98,10,10,10,10,10,10,f,strict_14_with_grace_period,3.68
2,151,f,18,f,-37.91984,145.03395,Apartment,Entire home/apt,6,2,2,3,200,120,10,1,1125,4,95,10,9,10,10,10,10,t,moderate,0.82
3,188,f,1,t,-37.64818,145.54512,Guesthouse,Entire home/apt,6,1,3,4,0,20,0,1,1124,200,93,9,9,10,10,10,9,t,strict_14_with_grace_period,5.5
4,200,f,1,t,-37.80245,144.98457,Apartment,Entire home/apt,4,2.5,2,2,0,50,0,1,30,3,100,10,10,10,10,10,10,t,flexible,0.26
5,90,t,2,f,-37.81796,144.96541,Apartment,Entire home/apt,2,1,1,1,200,45,0,1,14,129,98,10,10,10,10,10,10,t,strict_14_with_grace_period,8.06
6,37,t,3,f,-37.86725,145.14312,Townhouse,Private room,2,1,1,1,0,10,10,1,1125,13,95,10,9,10,10,10,10,t,flexible,2.57
7,300,f,40,f,-37.81407,144.93946,Apartment,Entire home/apt,9,3,3,5,,100,0,3,1125,2,100,10,9,10,10,10,9,t,moderate,2
8,102,f,51,t,-37.81065,144.97593,Apartment,Entire home/apt,2,1,1,1,2500,250,11,7,1125,0,,,,,,,,t,strict_14_with_grace_period,
9,57,f,1,f,-37.86497,144.99433,Apartment,Private room,1,1,1,1,,,0,5,28,1,100,10,10,10,10,10,10,f,strict_14_with_grace_period,0.48
10,129,f,21,t,-37.87027,144.97819,Apartment,Entire home/apt,2,1,1,1,500,95,8,5,59,8,98,10,9,10,10,10,10,t,strict_14_with_grace_period,0.28
11,129,f,13,f,-37.81877,144.95568,Apartment,Entire home/apt,3,1,1,2,300,80,0,2,89,9,100,10,10,10,10,10,10,t,strict_14_with_grace_period,1.08
12,55,f,3,t,-38.08078,145.21691,Farm stay,Private room,2,1.5,1,1,,,0,1,6,2,100,10,10,10,10,10,10,f,moderate,0.05
13,36,f,9,f,-37.91134,145.09826,House,Private room,2,1,1,1,150,20,0,7,1125,4,100,10,9,10,10,10,10,t,moderate,0.82
14,119,f,4,t,-37.80402,144.95613,Apartment,Entire home/apt,2,1,0,1,,,0,1,1125,34,90,9,10,10,10,9,9,t,flexible,0.93
15,149,f,1,t,-37.83805,144.9929,Apartment,Entire home/apt,4,2,2,3,500,140,0,2,30,12,100,10,10,10,10,10,10,t,moderate,3.46
16,45,f,11,t,-37.819,145.10612,House,Private room,2,1,1,1,0,15,0,1,1125,53,87,9,9,9,9,9,9,f,flexible,1.57
17,109,f,10,f,-37.80875,144.95982,Serviced apartment,Entire home/apt,3,1,1,1,200,60,30,4,1125,2,80,6,8,8,9,10,8,t,moderate,0.1
18,129,f,109,f,-37.817,144.9593,Apartment,Entire home/apt,4,1,2,2,500,130,0,1,1125,54,88,9,9,9,9,10,9,t,strict_14_with_grace_period,1.16
19,70,f,4,f,-37.8996,144.65561,Townhouse,Private room,4,1,1,2,140,25,17,1,1125,1,80,10,8,10,10,10,10,t,strict_14_with_grace_period,0.47
20,82,f,1,f,-37.81676,145.12199,Apartment,Private room,2,1,1,1,,,0,1,1125,0,,,,,,,,f,flexible,
21,65,t,2,t,-37.79355,144.96942,Apartment,Private room,2,2,1,1,150,30,30,1,35,67,96,10,10,10,10,10,10,f,strict_14_with_grace_period,2.24
22,107,t,4,f,-37.83075,144.9468,Apartment,Entire home/apt,5,2,2,3,750,130,15,1,1125,30,99,10,10,10,10,10,10,f,strict_14_with_grace_period,1.99
23,250,f,2,f,-37.64651,145.45395,Bed and breakfast,Private room,2,1,1,1,,,25,1,1125,2,100,10,10,10,10,10,8,t,flexible,0.18
24,165,f,1,f,-37.90491,145.11167,Townhouse,Private room,1,1,1,1,,,0,7,15,0,,,,,,,,t,flexible,
25,250,f,1,f,-37.91173,145.46439,Farm stay,Entire home/apt,14,2,4,6,350,95,50,2,60,5,93,10,9,10,10,10,8,f,moderate,0.35
26,50,f,2,t,-37.81413,144.96051,Apartment,Private room,1,1,1,1,,,0,1,1125,1,80,10,8,10,10,10,6,f,flexible,0.03
27,70,f,3,f,-37.81234,144.96882,Apartment,Private room,2,1,1,1,250,39,7,2,1125,30,96,10,9,10,10,10,10,t,strict_14_with_grace_period,1.74
28,190,t,1,t,-37.81145,144.96085,Apartment,Entire home/apt,2,1,1,1,200,80,0,3,1125,192,99,10,10,10,10,10,10,t,moderate,4.63
29,340,f,1,f,-38.14031,145.2536,House,Entire home/apt,4,2.5,5,7,,,0,1,1125,1,40,6,2,10,8,10,6,f,flexible,0.75
30,70,f,1,f,-37.81209,145.01433,Apartment,Private room,2,1,1,1,0,29,18,2,1125,28,94,10,10,10,10,10,10,f,flexible,1.05
31,125,f,5,f,-37.83926,144.99471,Apartment,Entire home/apt,4,1,1,2,300,65,0,1,1125,0,,,,,,,,t,flexible,
32,80,f,1,f,-37.8736,144.97699,Townhouse,Private room,2,1.5,1,1,0,50,30,1,30,6,100,10,9,10,10,10,10,f,flexible,0.41
33,129,t,3,f,-37.80974,144.96353,Apartment,Entire home/apt,4,1,2,3,150,80,10,1,1125,103,97,10,10,10,10,10,10,t,flexible,4.27
34,55,t,5,f,-37.75697,144.96689,Apartment,Private room,4,1.5,1,2,0,30,40,1,30,53,99,10,9,10,10,10,10,t,moderate,3.3
35,156,t,7,f,-37.81568,144.97195,Apartment,Entire home/apt,4,1,2,2,200,0,20,4,1125,64,98,10,10,10,10,10,9,t,strict_14_with_grace_period,2.41
36,149,t,16,f,-37.81197,144.95001,Serviced apartment,Entire home/apt,3,1,1,2,200,0,30,2,90,12,100,10,10,9,10,10,9,t,strict_14_with_grace_period,1.12
37,30,f,1,f,-37.78812,144.9325,House,Private room,1,1,1,1,,,0,2,10,1,,,,,,,,t,strict_14_with_grace_period,0.09
38,146,f,11,t,-37.80898,144.97055,Apartment,Entire home/apt,7,1,2,3,0,70,20,2,1125,7,86,10,9,10,10,10,9,t,strict_14_with_grace_period,0.94
39,300,f,1,f,-37.983,145.0451,House,Entire home/apt,7,2,4,4,500,100,50,3,1125,2,90,10,10,9,10,9,10,t,strict_14_with_grace_period,0.07
40,73,f,1,t,-37.90982,145.0455,House,Private room,1,1,1,1,0,45,50,2,1125,2,100,10,10,10,10,10,10,f,moderate,0.17
41,230,t,2,t,-37.79754,144.99278,House,Entire home/apt,4,1,2,2,300,90,0,3,14,34,99,10,10,10,10,10,10,f,strict_14_with_grace_period,0.99
42,453,t,2,f,-37.66477,145.5086,House,Entire home/apt,8,2.5,4,5,0,0,0,2,1125,18,100,10,10,10,10,10,10,t,flexible,1.59
43,36,f,2,t,-37.75672,144.97923,Townhouse,Private room,1,1.5,1,1,150,15,30,3,1125,41,95,10,9,10,10,10,10,f,moderate,2.66
44,75,f,1,f,-37.78532,145.13452,Apartment,Private room,2,1,1,1,,30,0,1,1125,1,,,,,,,,f,flexible,0.03
45,80,f,1,t,-37.82246,144.9931,Apartment,Entire home/apt,4,1,1,2,250,110,20,2,1125,132,92,10,10,10,10,10,10,f,moderate,3.08
46,109,t,27,f,-37.81533,144.95368,Apartment,Entire home/apt,3,1,1,2,150,0,10,1,1120,147,96,10,10,10,10,10,9,f,strict_14_with_grace_period,6.7
47,200,f,2,t,-37.76702,144.99109,Apartment,Shared room,2,1,1,2,0,20,0,1,3,4,95,10,9,10,10,10,10,f,flexible,0.29
48,190,f,1,f,-37.8123,144.96136,Apartment,Entire home/apt,5,1,2,2,,99,0,1,1125,10,96,10,10,10,10,10,10,f,moderate,4.11
49,102,f,51,t,-37.81,144.95695,Apartment,Entire home/apt,2,1,1,2,,,0,90,1125,0,,,,,,,,t,flexible,
50,200,t,1,t,-37.74817,145.69837,House,Entire home/apt,6,1,3,4,200,50,25,2,14,16,99,10,10,10,10,10,10,t,flexible,1.28
51,279,f,90,f,-37.69378,144.88535,Townhouse,Entire home/apt,10,3,4,8,750,150,35,2,1125,13,89,9,9,9,10,10,8,t,strict_14_with_grace_period,0.33
52,119,t,17,f,-37.80785,144.96042,Apartment,Entire home/apt,3,1,1,2,300,80,20,2,89,77,97,10,10,10,10,10,10,f,strict_14_with_grace_period,3.2
53,85,t,1,f,-37.82627,144.95985,Apartment,Entire home/apt,2,1,1,1,350,90,0,3,1125,10,96,10,9,10,10,10,10,t,strict_14_with_grace_period,1.38
54,380,f,6,f,-37.81099,144.95974,Apartment,Entire home/apt,6,1,2,5,300,80,10,1,365,2,100,10,10,10,10,10,10,t,strict_14_with_grace_period,0.75
55,135,t,1,f,-37.63657,145.5231,Earth house,Entire home/apt,4,1,1,2,,,20,2,14,77,98,10,10,10,10,10,10,f,flexible,2.12
56,50,f,1,f,-37.78516,144.98118,House,Private room,2,2,1,1,,,0,1,1125,0,,,,,,,,f,flexible,
57,129,f,3,f,-37.89299,145.2313,House,Entire home/apt,5,1,3,3,0,50,0,1,1125,60,93,10,9,10,10,10,10,f,strict_14_with_grace_period,3.4
58,30,f,1,t,-37.84317,145.10485,House,Private room,1,2,1,1,200,,20,21,1125,2,80,6,7,7,8,7,6,f,moderate,0.04
59,102,f,1,f,-37.89189,145.0526,House,Entire home/apt,5,1,3,3,,,0,2,1125,5,96,9,9,10,10,9,10,f,flexible,0.13
60,55,t,4,f,-37.89433,145.00227,House,Private room,2,2,1,2,0,29,0,3,30,12,98,10,9,10,10,10,10,t,flexible,2.03
61,100,t,71,f,-37.84237,144.98053,Apartment,Entire home/apt,5,1,2,2,400,99,29,2,1125,85,95,10,10,10,10,10,10,t,strict_14_with_grace_period,2.85
62,100,f,2,t,-37.82247,145.00538,Apartment,Entire home/apt,4,1,2,2,135,50,10,10,25,2,90,9,7,10,10,10,10,f,strict_14_with_grace_period,0.29
